question_id,title,score,tags,creation_date,last_activity_date,last_edit_date,link
269387,Uniformization over finite fields?,63,ag.algebraic-geometry;algebraic-curves;finite-fields,2017-05-09T19:51:47+00:00,2025-10-19T22:36:06+00:00,2019-07-16T18:38:49+00:00,https://mathoverflow.net/questions/269387/uniformization-over-finite-fields
338415,On the first sequence without triple in arithmetic progression,62,nt.number-theory;co.combinatorics;ds.dynamical-systems;sequences-and-series;oeis,2019-08-15T13:25:42+00:00,2023-12-17T23:42:33+00:00,2023-12-17T23:42:33+00:00,https://mathoverflow.net/questions/338415/on-the-first-sequence-without-triple-in-arithmetic-progression
200083,Grothendieck&#39;s Period Conjecture and the missing p-adic Hodge Theories,61,nt.number-theory;tannakian-category;p-adic-hodge-theory,2015-03-15T21:18:19+00:00,2021-08-25T12:23:28+00:00,2015-03-18T12:53:59+00:00,https://mathoverflow.net/questions/200083/grothendiecks-period-conjecture-and-the-missing-p-adic-hodge-theories
105854,Class function counting solutions of equation in finite group: when is it a virtual character?,57,gr.group-theory;rt.representation-theory;finite-groups;characters,2012-08-29T15:38:56+00:00,2025-11-05T10:33:29+00:00,2025-11-05T10:33:29+00:00,https://mathoverflow.net/questions/105854/class-function-counting-solutions-of-equation-in-finite-group-when-is-it-a-virt
325756,How many algebraic closures can a field have?,55,set-theory;ac.commutative-algebra;lo.logic;axiom-of-choice;field-extensions,2019-03-19T09:41:22+00:00,2024-09-30T12:14:10+00:00,2024-09-30T12:14:10+00:00,https://mathoverflow.net/questions/325756/how-many-algebraic-closures-can-a-field-have
37923,Does every triangle-free graph with maximum degree at most 6 have a 5-colouring?,55,graph-theory;graph-colorings;co.combinatorics,2010-09-06T19:58:11+00:00,2024-02-14T18:21:18+00:00,2010-09-06T20:38:14+00:00,https://mathoverflow.net/questions/37923/does-every-triangle-free-graph-with-maximum-degree-at-most-6-have-a-5-colouring
253577,Atiyah&#39;s paper on complex structures on $S^6$,52,dg.differential-geometry;at.algebraic-topology;complex-geometry;kt.k-theory-and-homology;index-theory,2016-10-31T20:01:46+00:00,2025-04-14T16:44:29+00:00,2019-08-12T10:19:19+00:00,https://mathoverflow.net/questions/253577/atiyahs-paper-on-complex-structures-on-s6
230595,What is the &quot;real&quot; meaning of the $\hat A$ class (or the Todd class)?,52,at.algebraic-topology;characteristic-classes;index-theory,2016-02-08T20:19:12+00:00,2025-06-14T23:09:26+00:00,2017-04-13T12:58:13+00:00,https://mathoverflow.net/questions/230595/what-is-the-real-meaning-of-the-hat-a-class-or-the-todd-class
93601,Concerning proofs from the axiom of choice that ℝ&#179; admits surprising geometrical decompositions: Can we prove there is no Borel decomposition?,52,lo.logic;set-theory;axiom-of-choice;mg.metric-geometry;descriptive-set-theory,2012-04-09T20:32:24+00:00,2022-08-12T20:29:21+00:00,2022-08-12T20:29:21+00:00,https://mathoverflow.net/questions/93601/concerning-proofs-from-the-axiom-of-choice-that-%e2%84%9d%c2%b3-admits-surprising-geometrical
263301,What is the current understanding regarding complex structures on the 6-sphere?,51,dg.differential-geometry;at.algebraic-topology;complex-geometry;kt.k-theory-and-homology;index-theory,2017-02-28T03:20:35+00:00,2017-12-10T20:56:54+00:00,2017-12-10T20:56:54+00:00,https://mathoverflow.net/questions/263301/what-is-the-current-understanding-regarding-complex-structures-on-the-6-sphere
452847,Can a regular icosahedron contain a rational point on each face?,50,nt.number-theory;discrete-geometry;geometry-of-numbers,2023-08-16T10:23:17+00:00,2023-08-20T02:58:16+00:00,2023-08-20T02:58:16+00:00,https://mathoverflow.net/questions/452847/can-a-regular-icosahedron-contain-a-rational-point-on-each-face
76443,Enriched Categories: Ideals/Submodules and algebraic geometry,48,ac.commutative-algebra;ag.algebraic-geometry;ct.category-theory;monoidal-categories;enriched-category-theory,2011-09-26T18:24:59+00:00,2013-07-29T22:52:23+00:00,2013-07-29T22:52:23+00:00,https://mathoverflow.net/questions/76443/enriched-categories-ideals-submodules-and-algebraic-geometry
44817,A = B (but not quite); 3-d arrays with multiple recurrences,48,combinatorial-identities;co.combinatorics,2010-11-04T12:57:24+00:00,2021-07-09T21:53:39+00:00,2021-07-09T21:53:39+00:00,https://mathoverflow.net/questions/44817/a-b-but-not-quite-3-d-arrays-with-multiple-recurrences
155196,Extending a line-arrangement so that the bounded components of its complement are triangles,47,discrete-geometry;plane-geometry;hyperplane-arrangements,2014-01-20T19:45:57+00:00,2022-09-15T18:04:43+00:00,2022-09-15T18:04:43+00:00,https://mathoverflow.net/questions/155196/extending-a-line-arrangement-so-that-the-bounded-components-of-its-complement-ar
219860,A kaleidoscopic coloring of the plane,45,real-analysis;mg.metric-geometry;measure-theory;harmonic-analysis;geometric-measure-theory,2015-10-02T18:55:32+00:00,2019-08-15T21:03:36+00:00,2019-08-15T21:03:36+00:00,https://mathoverflow.net/questions/219860/a-kaleidoscopic-coloring-of-the-plane
106971,Homotopy type of TOP(4)/PL(4),45,at.algebraic-topology;gt.geometric-topology;homotopy-theory,2012-09-12T02:38:57+00:00,2025-03-30T03:59:48+00:00,2013-02-19T01:58:02+00:00,https://mathoverflow.net/questions/106971/homotopy-type-of-top4-pl4
332387,Are we better in computing integrals than mathematicians of 19th century?,44,ag.algebraic-geometry;integration;motives;mixed-hodge-structure,2019-05-24T13:18:21+00:00,2019-05-24T16:07:45+00:00,2019-05-24T16:07:45+00:00,https://mathoverflow.net/questions/332387/are-we-better-in-computing-integrals-than-mathematicians-of-19th-century
266315,Is there anything to the obvious analogy between Joyal&#39;s combinatorial species and Goodwillie calculus?,43,co.combinatorics;at.algebraic-topology;ct.category-theory;homotopy-theory;higher-category-theory,2017-04-04T01:22:54+00:00,2017-04-05T03:42:35+00:00,2017-04-05T03:42:35+00:00,https://mathoverflow.net/questions/266315/is-there-anything-to-the-obvious-analogy-between-joyals-combinatorial-species-a
47920,What does the theta divisor of a number field know about its arithmetic?,42,nt.number-theory;arakelov-theory;theta-functions;reference-request,2010-12-01T16:17:15+00:00,2022-02-22T22:19:54+00:00,2022-02-22T22:19:54+00:00,https://mathoverflow.net/questions/47920/what-does-the-theta-divisor-of-a-number-field-know-about-its-arithmetic
19974,Minimal volume of 4-manifolds,42,gt.geometric-topology;dg.differential-geometry;riemannian-geometry,2010-03-31T16:47:24+00:00,2022-01-27T01:33:25+00:00,2022-01-27T01:33:25+00:00,https://mathoverflow.net/questions/19974/minimal-volume-of-4-manifolds
478499,Is this generalized character always a character?,41,gr.group-theory;rt.representation-theory;finite-groups;characters,2024-09-09T13:17:19+00:00,2025-11-16T19:37:11+00:00,2025-11-16T19:37:11+00:00,https://mathoverflow.net/questions/478499/is-this-generalized-character-always-a-character
283109,Converse of the Archimedean property of the sphere,41,dg.differential-geometry;convex-geometry;open-problems;convexity;geometric-measure-theory,2017-10-09T22:01:21+00:00,2023-09-20T18:56:36+00:00,2017-10-17T12:20:52+00:00,https://mathoverflow.net/questions/283109/converse-of-the-archimedean-property-of-the-sphere
282159,Is there any positive integer sequence $c_{n+1}=\frac{c_n(c_n+n+d)}n$?,41,nt.number-theory;integer-sequences;recurrences,2017-09-27T15:35:39+00:00,2025-08-09T20:17:26+00:00,2025-08-09T20:17:26+00:00,https://mathoverflow.net/questions/282159/is-there-any-positive-integer-sequence-c-n1-fracc-nc-nndn
309993,Groups whose complex irreducible representations are finite dimensional,40,gr.group-theory;rt.representation-theory;ra.rings-and-algebras;group-rings,2018-09-06T12:42:30+00:00,2018-12-31T09:19:48+00:00,2018-12-31T09:19:48+00:00,https://mathoverflow.net/questions/309993/groups-whose-complex-irreducible-representations-are-finite-dimensional
298336,Homology of $\mathrm{PGL}_2(F)$,40,gr.group-theory;algebraic-groups;kt.k-theory-and-homology;group-cohomology;algebraic-k-theory,2018-04-20T09:58:29+00:00,2018-04-26T08:00:12+00:00,2018-04-26T08:00:12+00:00,https://mathoverflow.net/questions/298336/homology-of-mathrmpgl-2f
91767,Computer calculations in $A_\infty$ categories?,39,ct.category-theory;ag.algebraic-geometry;computer-science;mathematical-software,2012-03-20T23:10:01+00:00,2025-07-15T09:32:48+00:00,2025-07-15T09:32:48+00:00,https://mathoverflow.net/questions/91767/computer-calculations-in-a-infty-categories
312396,Chern character of a Representation,38,rt.representation-theory;kt.k-theory-and-homology,2018-10-09T14:14:56+00:00,2018-10-10T08:31:17+00:00,2018-10-10T08:31:17+00:00,https://mathoverflow.net/questions/312396/chern-character-of-a-representation
202861,3-colorings of the unit distance graph of $\Bbb R^3$,38,co.combinatorics;graph-theory;discrete-geometry;graph-colorings;ramsey-theory,2015-04-14T05:05:59+00:00,2020-08-09T07:07:27+00:00,2020-08-09T07:07:27+00:00,https://mathoverflow.net/questions/202861/3-colorings-of-the-unit-distance-graph-of-bbb-r3
506537,How does an automorphism of a free module scale Haar measure?,37,ac.commutative-algebra;gn.general-topology;measure-theory;topological-groups,2025-12-31T22:26:48+00:00,2026-01-07T22:59:36+00:00,2026-01-07T22:59:36+00:00,https://mathoverflow.net/questions/506537/how-does-an-automorphism-of-a-free-module-scale-haar-measure
263889,Are there infinite versions of sporadic groups?,37,gr.group-theory;finite-groups,2017-03-06T16:40:46+00:00,2017-03-09T21:39:53+00:00,2017-04-13T12:58:00+00:00,https://mathoverflow.net/questions/263889/are-there-infinite-versions-of-sporadic-groups
105512,Correspondence between eigenvalue distributions of random unitary and random orthogonal matrices,37,pr.probability;random-matrices;haar-measure;mp.mathematical-physics;linear-algebra,2012-08-26T10:42:59+00:00,2015-09-21T20:46:02+00:00,2012-09-06T10:03:23+00:00,https://mathoverflow.net/questions/105512/correspondence-between-eigenvalue-distributions-of-random-unitary-and-random-ort
69819,What is the three-dimensional hyperbolic volume of a four-manifold?,37,gt.geometric-topology;4-manifolds;3-manifolds;knot-theory,2011-07-08T19:14:14+00:00,2012-10-24T13:59:03+00:00,2012-10-24T13:59:03+00:00,https://mathoverflow.net/questions/69819/what-is-the-three-dimensional-hyperbolic-volume-of-a-four-manifold
446995,"Orthogonal vectors with entries from $\{-1,0,1\}$",36,co.combinatorics;linear-algebra;matrices,2023-05-17T19:10:00+00:00,2023-05-19T19:20:10+00:00,2023-05-19T19:19:39+00:00,https://mathoverflow.net/questions/446995/orthogonal-vectors-with-entries-from-1-0-1
363120,"Players alternate moving a $\{\swarrow,\uparrow,\rightarrow\}$ piece on a chessboard",36,game-theory;combinatorial-game-theory,2020-06-15T14:47:14+00:00,2025-01-07T18:38:56+00:00,2025-01-07T18:38:56+00:00,https://mathoverflow.net/questions/363120/players-alternate-moving-a-swarrow-uparrow-rightarrow-piece-on-a-chessb
176166,History of the Proj construction in algebraic geometry,36,ag.algebraic-geometry;ho.history-overview,2014-07-15T08:24:02+00:00,2014-07-15T19:22:02+00:00,2014-07-15T19:22:02+00:00,https://mathoverflow.net/questions/176166/history-of-the-proj-construction-in-algebraic-geometry
62654,Functor that maps to both $KO^n$ and $KO^{-n}$,36,kt.k-theory-and-homology;at.algebraic-topology;homotopy-theory,2011-04-22T19:35:56+00:00,2013-10-02T12:11:49+00:00,2013-10-02T12:11:49+00:00,https://mathoverflow.net/questions/62654/functor-that-maps-to-both-kon-and-ko-n
55788,Two-convexity ⇒ Lefschetz?,36,convex-geometry;convexity;morse-theory,2011-02-17T22:12:07+00:00,2025-05-14T10:18:37+00:00,2025-05-14T10:18:37+00:00,https://mathoverflow.net/questions/55788/two-convexity-%e2%87%92-lefschetz
314630,Is there a rigid analytic geometry proof of the functional equation for the Riemann zeta function?,35,ag.algebraic-geometry;nt.number-theory;analytic-number-theory;algebraic-number-theory;rigid-analytic-geometry,2018-11-05T21:20:57+00:00,2018-11-08T03:51:45+00:00,2018-11-08T03:51:45+00:00,https://mathoverflow.net/questions/314630/is-there-a-rigid-analytic-geometry-proof-of-the-functional-equation-for-the-riem
209927,Next steps on formal proof of classification of finite simple groups,35,gr.group-theory;finite-groups;ho.history-overview;formal-proof;coq,2015-06-23T03:20:24+00:00,2015-06-23T03:31:04+00:00,2017-04-13T12:58:00+00:00,https://mathoverflow.net/questions/209927/next-steps-on-formal-proof-of-classification-of-finite-simple-groups
479419,Is $2\uparrow\uparrow\infty + 3$ divisible by a prime number?,34,nt.number-theory;computational-number-theory,2024-09-23T10:20:34+00:00,2024-10-26T12:49:08+00:00,2024-10-26T12:49:08+00:00,https://mathoverflow.net/questions/479419/is-2-uparrow-uparrow-infty-3-divisible-by-a-prime-number
377105,The easily bored sequence,34,co.combinatorics;sequences-and-series;integer-sequences;combinatorics-on-words,2020-11-22T01:28:00+00:00,2022-04-22T09:14:04+00:00,2022-04-22T09:14:04+00:00,https://mathoverflow.net/questions/377105/the-easily-bored-sequence
231823,&quot;Three great cocycles&quot; in Complex Analysis as cohomology generators,34,reference-request;cv.complex-variables;group-cohomology,2016-02-22T13:57:23+00:00,2026-01-08T21:10:25+00:00,2026-01-08T21:10:25+00:00,https://mathoverflow.net/questions/231823/three-great-cocycles-in-complex-analysis-as-cohomology-generators
221181,Isometric embeddings of finite subsets of $\ell_2$ into infinite-dimensional Banach spaces,34,mg.metric-geometry;banach-spaces;metric-embeddings,2015-10-18T00:44:32+00:00,2017-04-04T02:28:46+00:00,2017-04-13T12:58:27+00:00,https://mathoverflow.net/questions/221181/isometric-embeddings-of-finite-subsets-of-ell-2-into-infinite-dimensional-ban
212269,Metrics on the 3-sphere with knotted geodesics,34,gt.geometric-topology;riemannian-geometry;knot-theory;geodesics,2015-07-24T22:40:26+00:00,2015-07-25T04:49:30+00:00,2017-04-13T12:58:10+00:00,https://mathoverflow.net/questions/212269/metrics-on-the-3-sphere-with-knotted-geodesics
86861,Defining $\mathbb{Z}$ in $\mathbb{Q}$,34,nt.number-theory;lo.logic;model-theory;definability,2012-01-27T21:17:05+00:00,2020-08-19T19:15:54+00:00,2020-08-19T18:58:09+00:00,https://mathoverflow.net/questions/86861/defining-mathbbz-in-mathbbq
34692,Subalgebras of von Neumann algebras,34,oa.operator-algebras;fa.functional-analysis,2010-08-05T21:40:37+00:00,2010-08-09T05:04:40+00:00,2010-08-09T05:04:40+00:00,https://mathoverflow.net/questions/34692/subalgebras-of-von-neumann-algebras
327031,"On the definition of regular (non-noetherian, commutative) rings",33,ag.algebraic-geometry;ac.commutative-algebra;homological-algebra;regular-rings;valuation-rings,2019-04-03T08:38:58+00:00,2019-04-16T12:57:13+00:00,2019-04-16T12:57:13+00:00,https://mathoverflow.net/questions/327031/on-the-definition-of-regular-non-noetherian-commutative-rings
311325,Vertex coloring inherited from perfect matchings (motivated by quantum physics),33,co.combinatorics;graph-theory;mp.mathematical-physics;graph-colorings;perfect-matchings,2018-09-24T18:16:41+00:00,2023-01-12T05:49:22+00:00,2021-01-19T14:44:50+00:00,https://mathoverflow.net/questions/311325/vertex-coloring-inherited-from-perfect-matchings-motivated-by-quantum-physics
122221,Is there a (discrete) monoid M injecting into its group completion G for which BM is not homotopy equivalent to BG?,33,homotopy-theory;at.algebraic-topology;semigroups-and-monoids;classifying-spaces,2013-02-18T19:34:34+00:00,2020-07-15T03:01:06+00:00,2013-02-18T22:22:31+00:00,https://mathoverflow.net/questions/122221/is-there-a-discrete-monoid-m-injecting-into-its-group-completion-g-for-which-b
57958,Microlocal geometry - A theorem of Verdier,33,ag.algebraic-geometry;at.algebraic-topology;singularity-theory;morse-theory;perverse-sheaves,2011-03-09T15:03:40+00:00,2013-08-27T17:50:45+00:00,2013-08-27T17:50:45+00:00,https://mathoverflow.net/questions/57958/microlocal-geometry-a-theorem-of-verdier
40561,A Combinatorial Abstraction for The &quot;Polynomial Hirsch Conjecture&quot; ,33,polymath3;convex-polytopes;open-problems;co.combinatorics;oc.optimization-and-control,2010-09-30T00:28:19+00:00,2012-06-12T17:57:25+00:00,2020-06-15T07:27:00+00:00,https://mathoverflow.net/questions/40561/a-combinatorial-abstraction-for-the-polynomial-hirsch-conjecture
392283,Cubic function $\mathbb{Z}^2 \to \mathbb{Z}$ cannot be injective,32,ag.algebraic-geometry;nt.number-theory;polynomials,2021-05-09T00:10:04+00:00,2021-05-22T08:34:38+00:00,2021-05-22T08:34:38+00:00,https://mathoverflow.net/questions/392283/cubic-function-mathbbz2-to-mathbbz-cannot-be-injective
366772,A question related to the Hofstadter–Conway \$10000 sequence,32,nt.number-theory;sequences-and-series;limits-and-convergence;integer-sequences,2020-07-28T08:56:11+00:00,2021-12-11T08:19:35+00:00,2021-12-05T16:03:44+00:00,https://mathoverflow.net/questions/366772/a-question-related-to-the-hofstadter-conway-10000-sequence
342194,Is this representation of Go (game) irreducible?,32,rt.representation-theory;graph-theory;geometric-group-theory;von-neumann-algebras;combinatorial-game-theory,2019-09-21T20:30:01+00:00,2019-10-23T15:36:11+00:00,2019-10-23T15:36:11+00:00,https://mathoverflow.net/questions/342194/is-this-representation-of-go-game-irreducible
328165,Do two integral matrices generate a free group?,32,gr.group-theory,2019-04-16T01:09:47+00:00,2019-04-16T02:41:42+00:00,2019-04-16T02:41:42+00:00,https://mathoverflow.net/questions/328165/do-two-integral-matrices-generate-a-free-group
316985,"Existence of orthogonal basis of symmetric $n\times n$ matrices, where each matrix is unitary?",32,matrices;matrix-theory,2018-12-05T18:34:24+00:00,2018-12-14T00:18:24+00:00,2018-12-06T13:11:03+00:00,https://mathoverflow.net/questions/316985/existence-of-orthogonal-basis-of-symmetric-n-times-n-matrices-where-each-matr
262745,Is every $p$-group the $\mathbb{F}_p$-points of a unipotent group,32,ag.algebraic-geometry;gr.group-theory;finite-groups;algebraic-groups;nilpotent-groups,2017-02-21T03:26:35+00:00,2025-07-15T13:58:10+00:00,2025-07-15T13:58:10+00:00,https://mathoverflow.net/questions/262745/is-every-p-group-the-mathbbf-p-points-of-a-unipotent-group
212361,Minimal number of intersections in a convex $n$-gon?,32,co.combinatorics;discrete-geometry;incidence-geometry,2015-07-26T16:21:50+00:00,2015-08-17T02:48:03+00:00,2015-08-17T02:48:03+00:00,https://mathoverflow.net/questions/212361/minimal-number-of-intersections-in-a-convex-n-gon
85516,Why do Clifford algebras determine $KO$ (and $K$-)-theory?,32,clifford-algebras;at.algebraic-topology,2012-01-12T19:17:40+00:00,2012-01-12T23:22:15+00:00,2012-01-12T20:14:58+00:00,https://mathoverflow.net/questions/85516/why-do-clifford-algebras-determine-ko-and-k-theory
65664,Peano Arithmetic and the Field of Rationals,32,lo.logic;nt.number-theory,2011-05-21T18:01:13+00:00,2011-05-22T21:00:35+00:00,2011-05-22T21:00:35+00:00,https://mathoverflow.net/questions/65664/peano-arithmetic-and-the-field-of-rationals
18882,$f\circ f=g$ revisited,32,ca.classical-analysis-and-odes;fractional-iteration,2010-03-20T21:35:10+00:00,2020-01-10T02:26:04+00:00,2020-01-09T22:40:08+00:00,https://mathoverflow.net/questions/18882/f-circ-f-g-revisited
476578,Is it true that $\left\{\frac{\sigma(n)}{\varphi(n)}:\ n\in\mathbb{Z}_{\geq 1}\right\}=\{r\in\mathbb Q:\ r\ge1\}$?,31,nt.number-theory;arithmetic-functions;multiplicative-number-theory,2024-08-08T13:22:42+00:00,2024-08-09T01:02:45+00:00,2024-08-09T01:02:45+00:00,https://mathoverflow.net/questions/476578/is-it-true-that-left-frac-sigman-varphin-n-in-mathbbz-geq-1-r
232291,Do there exist infinite-dimensional Banach spaces in which every bounded linear operator attains its norm?,31,fa.functional-analysis;banach-spaces;operator-theory;norms;operator-norms,2016-02-27T18:53:28+00:00,2022-02-25T01:55:23+00:00,2022-02-25T01:55:23+00:00,https://mathoverflow.net/questions/232291/do-there-exist-infinite-dimensional-banach-spaces-in-which-every-bounded-linear
156621,When are two C*-algebras isomorphic as Banach spaces?,31,fa.functional-analysis;oa.operator-algebras,2014-02-03T23:01:12+00:00,2014-02-04T07:44:30+00:00,2014-02-03T23:38:08+00:00,https://mathoverflow.net/questions/156621/when-are-two-c-algebras-isomorphic-as-banach-spaces
73428,When is a compact topological 4-manifold a CW complex?,31,at.algebraic-topology;open-problems;4-manifolds;cw-complexes;topological-manifolds,2011-08-22T18:32:18+00:00,2015-08-11T02:50:06+00:00,2017-04-13T12:57:57+00:00,https://mathoverflow.net/questions/73428/when-is-a-compact-topological-4-manifold-a-cw-complex
467258,A conjecture about inclusion–exclusion,30,co.combinatorics;order-theory;lattice-theory;mobius-inversion,2024-03-18T13:55:12+00:00,2024-03-18T16:43:42+00:00,2024-03-18T16:43:42+00:00,https://mathoverflow.net/questions/467258/a-conjecture-about-inclusion-exclusion
459428,Interpretation of &quot;1089-number trick&quot; in terms of symmetric group action on cohomology group?,30,permutations;symmetric-groups,2023-11-29T17:52:19+00:00,2023-11-29T20:20:34+00:00,2023-11-29T20:20:34+00:00,https://mathoverflow.net/questions/459428/interpretation-of-1089-number-trick-in-terms-of-symmetric-group-action-on-coho
385603,Spectral sequences as deformation theory,30,ag.algebraic-geometry;at.algebraic-topology;homotopy-theory;spectral-sequences;derived-algebraic-geometry,2021-03-05T01:24:05+00:00,2021-03-13T02:16:37+00:00,2021-03-13T02:16:37+00:00,https://mathoverflow.net/questions/385603/spectral-sequences-as-deformation-theory
363950,Curves on potatoes,30,gt.geometric-topology;mg.metric-geometry,2020-06-23T19:35:22+00:00,2024-05-25T16:01:21+00:00,2024-05-25T16:01:21+00:00,https://mathoverflow.net/questions/363950/curves-on-potatoes
332011,Three real polynomials,30,real-analysis;polynomials,2019-05-20T13:20:15+00:00,2023-09-12T19:11:50+00:00,2023-09-12T19:11:50+00:00,https://mathoverflow.net/questions/332011/three-real-polynomials
314626,Cohomology of symmetric groups and the integers mod 12,30,gr.group-theory;group-cohomology,2018-11-05T20:17:19+00:00,2018-11-08T15:45:29+00:00,2018-11-08T15:45:29+00:00,https://mathoverflow.net/questions/314626/cohomology-of-symmetric-groups-and-the-integers-mod-12
261133,Number of real roots of a polynomial,30,real-analysis;cv.complex-variables,2017-02-01T19:54:25+00:00,2017-02-02T09:11:38+00:00,2017-02-02T09:11:38+00:00,https://mathoverflow.net/questions/261133/number-of-real-roots-of-a-polynomial
258647,"Is there a field $F$ which is isomorphic to $F(X,Y)$ but not to $F(X)$?",30,ra.rings-and-algebras;examples;fields,2017-01-03T11:25:32+00:00,2018-07-27T06:34:47+00:00,2018-07-27T06:34:47+00:00,https://mathoverflow.net/questions/258647/is-there-a-field-f-which-is-isomorphic-to-fx-y-but-not-to-fx
244607,Follow-up to Steinberg&#39;s problem (12) in his 1966 ICM talk?,30,reference-request;gr.group-theory;lie-algebras;algebraic-groups,2016-07-18T20:24:07+00:00,2020-09-07T03:42:47+00:00,2020-09-07T03:42:47+00:00,https://mathoverflow.net/questions/244607/follow-up-to-steinbergs-problem-12-in-his-1966-icm-talk
235798,Can one divide by the cardinal of an amorphous set?,30,lo.logic;set-theory;axiom-of-choice,2016-04-09T22:05:50+00:00,2022-07-10T05:52:54+00:00,2022-07-10T04:35:58+00:00,https://mathoverflow.net/questions/235798/can-one-divide-by-the-cardinal-of-an-amorphous-set
228330,Greatly expanded new edition of a Bourbaki chapter on algebra?,30,ra.rings-and-algebras;soft-question;books;bourbaki,2016-01-13T14:51:50+00:00,2016-01-21T16:13:24+00:00,2016-01-21T16:13:24+00:00,https://mathoverflow.net/questions/228330/greatly-expanded-new-edition-of-a-bourbaki-chapter-on-algebra
165884,Is there an Ehrhart polynomial for Gaussian integers,30,nt.number-theory;mg.metric-geometry;lattices,2014-05-12T01:46:47+00:00,2014-05-13T00:10:51+00:00,2014-05-13T00:10:51+00:00,https://mathoverflow.net/questions/165884/is-there-an-ehrhart-polynomial-for-gaussian-integers
68094,Ricci flat metric on $n$-sphere?,30,dg.differential-geometry;riemannian-geometry,2011-06-17T20:29:46+00:00,2011-06-20T03:39:50+00:00,2011-06-20T03:39:50+00:00,https://mathoverflow.net/questions/68094/ricci-flat-metric-on-n-sphere
58793,Nontrivial tangent bundle that is diffeomorphic to the trivial bundle,30,dg.differential-geometry;differential-topology,2011-03-17T23:25:39+00:00,2016-03-11T03:18:11+00:00,2017-04-13T12:58:06+00:00,https://mathoverflow.net/questions/58793/nontrivial-tangent-bundle-that-is-diffeomorphic-to-the-trivial-bundle
53362,What do dessins tell us about the absolute Galois group?,30,galois-theory;absolute-galois-group,2011-01-26T15:44:47+00:00,2021-11-14T21:25:40+00:00,2017-05-08T14:25:11+00:00,https://mathoverflow.net/questions/53362/what-do-dessins-tell-us-about-the-absolute-galois-group
